15/12/2016 13:27:17;1;
15/12/2016 13:29:17;3;
15/12/2016 13:29:29;1;
15/12/2016 13:30:14;1;
15/12/2016 13:51:31;3;
15/12/2016 13:51:34;1;
15/12/2016 13:51:35;1;
15/12/2016 13:51:36;3;
15/12/2016 13:51:36;3;
15/12/2016 13:51:37;3;
15/12/2016 13:51:37;3;
15/12/2016 13:51:38;3;
15/12/2016 13:51:38;3;
15/12/2016 13:51:39;2;
15/12/2016 13:52:23;1;
15/12/2016 13:52:25;2;
15/12/2016 13:52:44;2;
15/12/2016 13:53:56;1;
15/12/2016 13:53:57;3;
15/12/2016 13:56:36;3;
15/12/2016 13:56:37;3;
15/12/2016 13:56:39;3;
15/12/2016 13:56:40;2;
15/12/2016 13:56:50;2;
15/12/2016 13:56:53;2;
15/12/2016 13:56:56;3;
15/12/2016 13:56:57;1;
15/12/2016 13:57:21;1;
15/12/2016 13:57:23;1;
15/12/2016 13:57:24;1;
15/12/2016 14:15:56;1;
15/12/2016 14:16:07;3;
15/12/2016 14:16:13;2;
